"";"spatial_code";"spatial_name";"spatial_type";"spatial_date";"temporal_date";"temporal_type";"measure";"value"
"135";"GM17";"IJburg, Zeeburgereiland";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";12,47
"136";"GM17";"IJburg, Zeeburgereiland";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";6,68
"137";"GN18";"Noord-West";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";7
"138";"GN18";"Noord-West";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";42,94
"139";"GN18";"Noord-West";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";16,72
"140";"GN18";"Noord-West";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";33,32
"141";"GN18";"Noord-West";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";65,2
"142";"GN18";"Noord-West";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";24,47
"143";"GN18";"Noord-West";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";7,86
"144";"GN18";"Noord-West";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";2,45
"145";"GN19";"Oud-Noord";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";15,08
"146";"GN19";"Oud-Noord";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";38,47
"147";"GN19";"Oud-Noord";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";7,15
"148";"GN19";"Oud-Noord";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";39,31
"149";"GN19";"Oud-Noord";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";50
"150";"GN19";"Oud-Noord";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";44,34
"151";"GN19";"Oud-Noord";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";0,86
"152";"GN19";"Oud-Noord";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";4,8
"153";"GN20";"Noord-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";27,62
"154";"GN20";"Noord-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";25,8
"155";"GN20";"Noord-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";8,58
"156";"GN20";"Noord-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";38,01
"157";"GN20";"Noord-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";82,5
"158";"GN20";"Noord-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";12,08
"159";"GN20";"Noord-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";2,37
"160";"GN20";"Noord-Oost";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";3,05
"161";"GS25";"Weesp, Driemond";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";26,28
"162";"GS25";"Weesp, Driemond";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";14,58
"163";"GS25";"Weesp, Driemond";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";23,61
"164";"GS25";"Weesp, Driemond";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";35,52
"165";"GS25";"Weesp, Driemond";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";79,82
"166";"GS25";"Weesp, Driemond";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";4,23
"167";"GS25";"Weesp, Driemond";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";11,95
"168";"GS25";"Weesp, Driemond";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";4
"169";"GT21";"Bijlmer-West";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";33,16
"170";"GT21";"Bijlmer-West";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";26,84
"171";"GT21";"Bijlmer-West";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";7,83
"172";"GT21";"Bijlmer-West";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";32,18
"173";"GT21";"Bijlmer-West";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";6,67
"174";"GT21";"Bijlmer-West";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";73,33
"175";"GT21";"Bijlmer-West";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";20
"176";"GT21";"Bijlmer-West";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";0
"177";"GT22";"Bijlmer-Centrum";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";20,96
"178";"GT22";"Bijlmer-Centrum";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";36,96
"179";"GT22";"Bijlmer-Centrum";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";9
"180";"GT22";"Bijlmer-Centrum";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";33,08
"181";"GT22";"Bijlmer-Centrum";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";61,27
"182";"GT22";"Bijlmer-Centrum";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";24,91
"183";"GT22";"Bijlmer-Centrum";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";7,43
"184";"GT22";"Bijlmer-Centrum";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";6,43
"185";"GT23";"Bijlmer-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";3,66
"186";"GT23";"Bijlmer-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";45,88
"187";"GT23";"Bijlmer-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";12,06
"188";"GT23";"Bijlmer-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";38,39
"189";"GT23";"Bijlmer-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";39,13
"190";"GT23";"Bijlmer-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";35,35
"191";"GT23";"Bijlmer-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";18
"192";"GT23";"Bijlmer-Oost";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";7,52
"193";"GT24";"Gaasperdam";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";12,88
"194";"GT24";"Gaasperdam";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";42,56
"195";"GT24";"Gaasperdam";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";11,09
"196";"GT24";"Gaasperdam";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";33,46
"197";"GT24";"Gaasperdam";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";60,09
"198";"GT24";"Gaasperdam";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";26,08
"199";"GT24";"Gaasperdam";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";9,91
"200";"GT24";"Gaasperdam";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";3,92
"201";"0363";"Amsterdam";"Gemeente";"20220401";"20200101";"peildatum";"BHNDG_BINDAMS_P";65,89
"202";"0363";"Amsterdam";"Gemeente";"20220401";"20200101";"peildatum";"BHNDG_BINDNL_P";9,66
"203";"0363";"Amsterdam";"Gemeente";"20220401";"20200101";"peildatum";"BHNDG_BINDONLINE_P";24,45
"204";"0363";"Amsterdam";"Gemeente";"20220401";"20200101";"peildatum";"BHDG_BINDAMS_P";94,18
"205";"0363";"Amsterdam";"Gemeente";"20220401";"20200101";"peildatum";"BHDG_BINDNL_P";3,28
"206";"0363";"Amsterdam";"Gemeente";"20220401";"20200101";"peildatum";"EDG_BINDONLINE_P";2,53
"207";"0363";"Amsterdam";"Gemeente";"20220401";"20220101";"peildatum";"BHNDG_BINDAMS_P";53,56
"208";"0363";"Amsterdam";"Gemeente";"20220401";"20220101";"peildatum";"BHNDG_BINDNL_P";7,06
"209";"0363";"Amsterdam";"Gemeente";"20220401";"20220101";"peildatum";"BHNDG_BINDONLINE_P";39,36
"210";"0363";"Amsterdam";"Gemeente";"20220401";"20220101";"peildatum";"BHDG_BINDAMS_P";89,93
"211";"0363";"Amsterdam";"Gemeente";"20220401";"20220101";"peildatum";"BHDG_BINDNL_P";3,78
"212";"0363";"Amsterdam";"Gemeente";"20220401";"20220101";"peildatum";"EDG_BINDONLINE_P";6,28
"213";"0363";"Amsterdam";"Gemeente";"20220401";"20240101";"peildatum";"BHNDG_BINDAMS_P";54,31
"214";"0363";"Amsterdam";"Gemeente";"20220401";"20240101";"peildatum";"BHNDG_BINDNL_P";8,7
"215";"0363";"Amsterdam";"Gemeente";"20220401";"20240101";"peildatum";"BHNDG_BINDONLINE_P";36,97
"216";"0363";"Amsterdam";"Gemeente";"20220401";"20240101";"peildatum";"BHDG_BINDAMS_P";93,74
"217";"0363";"Amsterdam";"Gemeente";"20220401";"20240101";"peildatum";"BHDG_BINDNL_P";2,93
"218";"0363";"Amsterdam";"Gemeente";"20220401";"20240101";"peildatum";"EDG_BINDONLINE_P";3,34
"219";"A";"Centrum";"stadsdelen";"20220324";"20200101";"peildatum";"BHNDG_BINDGEB_P";44,66
"220";"A";"Centrum";"stadsdelen";"20220324";"20200101";"peildatum";"BHNDG_BINDAMS_P";25,72
"221";"A";"Centrum";"stadsdelen";"20220324";"20200101";"peildatum";"BHNDG_BINDNL_P";5,68
"222";"A";"Centrum";"stadsdelen";"20220324";"20200101";"peildatum";"BHNDG_BINDONLINE_P";23,93
"223";"A";"Centrum";"stadsdelen";"20220324";"20200101";"peildatum";"BHDG_BINDGEB_P";79,7
